Length: 500, width: 38, thickness:63, Bed Frames - end of bed - 85 & 0b1010101
Length: 187, width: 38, thickness:63, Bed Frames - end of bed - 86 & 0b1010110
Length: 187, width: 38, thickness:63, Bed Frames - end of bed - 87 & 0b1010111
Length: 1437, width: 38, thickness:63, Bed Frames - away wall - 88 & 0b1011000
Length: 1437, width: 38, thickness:63, Bed Frames - away wall - 89 & 0b1011001
Length: 541, width: 38, thickness:63, Bed Frames - away wall - 90 & 0b1011010
Length: 541, width: 38, thickness:63, Bed Frames - away wall - 91 & 0b1011011
Length: 541, width: 38, thickness:63, Bed Frames - away wall - 92 & 0b1011100
Length: 1437, width: 38, thickness:63, Bed Frames - away wall - 93 & 0b1011101
Length: 1437, width: 38, thickness:63, Bed Frames - away wall - 94 & 0b1011110
Length: 503, width: 38, thickness:63, Bed Frames - away wall - 95 & 0b1011111
Length: 503, width: 38, thickness:63, Bed Frames - away wall - 96 & 0b1100000
Length: 503, width: 38, thickness:63, Bed Frames - away wall - 97 & 0b1100001
Length: 2149, width: 38, thickness:63, Bed Frames - top - 98 & 0b1100010
Length: 2149, width: 38, thickness:63, Bed Frames - top - 99 & 0b1100011
Length: 1082, width: 38, thickness:63, Bed Frames - top - 100 & 0b1100100
Length: 1082, width: 38, thickness:63, Bed Frames - top - 101 & 0b1100101
Length: 2225, width: 250, thickness:12, Bed platforms - near wall - 102 & 0b1100110
Length: 2225, width: 250, thickness:12, Bed platforms - near wall - 103 & 0b1100111
Length: 541, width: 908, thickness:12, Bed platforms - tables - 104 & 0b1101000
Length: 604, width: 908, thickness:12, Bed platforms - tables - 105 & 0b1101001
Length: 2225, width: 870, thickness:12, Bed platforms - the - 106 & 0b1101010
Length: 2225, width: 1196, thickness:12, Top Platform - 107 & 0b1101011
Length: 470, width: 300, thickness:12, Stairs - 108 & 0b1101100
Length: 470, width: 600, thickness:12, Stairs - 109 & 0b1101101
Length: 470, width: 900, thickness:12, Stairs - 110 & 0b1101110
Length: 1512, width: 900, thickness:12, Stairs - 111 & 0b1101111
Length: 1500, width: 900, thickness:12, Stairs - 112 & 0b1110000
Length: 910, width: 910, thickness:12, Slidieeeee - 113 & 0b1110001
Length: 910, width: 2100, thickness:12, Slidieeeee - 114 & 0b1110010
Length: 2100, width: 38, thickness:63, Slidieeeee - 115 & 0b1110011
Length: 2100, width: 38, thickness:63, Slidieeeee - 116 & 0b1110100
